Number,Chassis_maker,Body_maker,Model,body_model,year,area,other,other_2,other_3
旭川200か1296,いすゞ,JBUS,LKG-RU1ESBJ,ガーラHD,2011,都市間,西武バス,-,
旭川200か1303,三菱ふそう,MFBM,PA-MK27FM,エアロミディMK,2006,市内,東急バス　,T7711,
旭川200か1304,三菱ふそう,MFBM,BKG-MS96JP,エアロエース,2008,留萌/空港,千葉交通,9837,
旭川200か1306,三菱ふそう,MFBM,PA-MK27FM,エアロミディMK,2006,市内,東急バス　,T7709,
旭川200か1308,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2008,都市間,京急バス,J3803,
旭川200か1309,いすゞ,JBUS,PJ-LV234L1,エルガ,2005,市内,東京都交通局,M175,
旭川200か1310,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2008,都市間,京急バス,J3804,
旭川200か1311,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2008,都市間,京急バス,J3806,
旭川200か1313,日野自動車,JBUS,ADG-RU1ESAA,セレガHD,-,貸切,富士急モビリティ,G2604,
旭川200か1316,日野自動車,JBUS,QRG-RU1ASCA,セレガHD,2014,貸切,箱根登山バス,210,
旭川200か1318,日野自動車,JBUS,QRG-RU1ASCA,セレガHD,2014,貸切,箱根登山バス,211,
旭川200か1320,日野自動車,JBUS,PK-HR7JPAE,レインボー,2005,市内,西東京バス,B20510,
旭川200か1322,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2007,都市間,京急バス,J3701,
旭川200か1330,いすゞ,JBUS,QTG-RU1ASCJ,ガーラHD,-,貸切,西武総合企画,S-021,
旭川200か1331,日野自動車,JBUS,PK-HR7JPAE,レインボー,2005,市内,西東京バス,B20511,
旭川200か1339,日野自動車,JBUS,PJ-KV234L1,ブルーリボンII,2006,上川,東武バスウエスト,9841,
旭川200か1343,日野自動車,JBUS,PJ-KV234L1,ブルーリボンII,2006,名寄,東武バスウエスト,9842,
旭川200か1344,三菱ふそうトラック・バス,MFBM,PJ-MP37JK,エアロスター,2006,長距離,神奈中バス,お58,
旭川200か1346,三菱ふそうトラック・バス,MFBM,BKG-MS96JP,エアロエース,-,都市間,東京空港交通,-,
旭川200か1354,三菱ふそうトラック・バス,MFBM,PJ-MP37JK,エアロスター,2005,市内,小田急バス,05-A6034,→旭川230あ1992
旭川200か1362,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2008,都市間,東武バス　,-,
旭川200か1363,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2008,都市間,東武バス　,-,
旭川200か1365,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2010,留萌/空港,あすか交通,2188,
旭川200か1366,三菱ふそうトラック・バス,MFBM,BKG-MS96JP,エアロエース,-,都市間,東京空港交通,-,
旭川200か1370,日産ディーゼル,MFBM,LKG-AP37FK,スペースランナーA,2010,市内,西武バス,A0-529,
旭川200か1372,日野自動車,JBUS,PKG-KV234L2,ブルーリボンII,2007,長距離,東京都交通局,R625,
旭川200か1380,日野自動車,JBUS,PKG-KV234L2,ブルーリボンII,2007,市内,東京都交通局,R559,
旭川200か1381,日野自動車,JBUS,PKG-KV234L2,ブルーリボンII,2007,市内,東京都交通局,R565,
旭川200か1388,日野自動車,JBUS,PKG-KV234L2,ブルーリボンII,2007,市内,東京都交通局,R610,
旭川200か1389,日産ディーゼル,富士重工,U-UA440LSN,7E,1992,末広高台線,相鉄バス,8202,
旭川200か1390,日産ディーゼル,富士重工,U-UA440LSN,7E,1994,春光台緑が丘線,相鉄バス,8402,
旭川200か1396,いすゞ,JBUS,PKG-LV234L2,エルガ,2010,市内,西武バス,A0-519,
旭川200か1398,三菱ふそうトラック・バス,MFBM,LKG-MP37FK,エアロスター,2011,市内,西武バス,A1-578,
旭川200か1403,いすゞ,JBUS,PJ-LV234N1,エルガ,2006,市内,阪東自動車,285,
旭川200か1405,日野自動車,JBUS,BDG-HR7JPBE,レインボー,2008,市内,JFE川崎物流,1858,
旭川200か1407,いすゞ,JBUS,PJ-LV234L1,エルガ,2007,市内,立川バス,J742,
旭川200か1409,いすゞ,JBUS,PDG-LV234N2,エルガ,2008,市内,名古屋市交通局,NS-90,
旭川200か1410,三菱ふそうトラック・バス,MFBM,PKG-MP35UK改,エアロスター,200,市内,神奈中バス,ち82,
旭川200か1415,三菱ふそうトラック・バス,MFBM,PDG-MM95FH,エアロエースMM,2008,貸切,萩観光,,
旭川200か1418,いすゞ自動車,JBUS,PJ-LV234L1,エルガノンステップ,2006,市内,西東京バス,A10627,→旭川230か・・11
,,,,,,,,,
↓以下希望番号,,,,,,,,,
旭川200き・・・1,三菱ふそうトラック・バス,MFBM,2PG-MP38FM,エアロスター,2025,深川,-,-,
旭川200え・・・2,三菱ふそうトラック・バス,MFBM,2PG-MP38FM,エアロスター,2025,深川,-,-,
旭川200あ・・・7,日野自動車,JBUS,ACG-HU8JMFP,ブルーリボンシティハイブリッド,2007,-,-,-,除籍
旭川230い・・・7,日野自動車,JBUS,PKG-KV234L2,ブルーリボンII,2007,市内,東京都交通局,R620,
旭川200か・・・8,日野自動車,JBUS,BJG-HU8JMFP,ブルーリボンシティハイブリッド,2008,市内,-,-,
